CONDICION_FIRME,CONDICION_ILUMINACION,CONDICION_METEO,CONDICION_NIEBLA,CONDICION_NIVEL_CIRCULA,CONDICION_VIENTO,id
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,3905
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,3906
Seco y limpio,Sin luz natural ni artificial,Despejado,,Nivel blanco,,3907
Mojado,"Luz del día natural, solar",Lluvia débil,,Nivel blanco,,3908
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,3909
Seco y limpio,Sin luz natural y con iluminación artificial no en,Despejado,,Nivel blanco,,3910
Seco y limpio,Sin luz natural ni artificial,Despejado,,Nivel verde,,3911
Seco y limpio,Sin luz natural ni artificial,Despejado,,Nivel blanco,,3912
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,3913
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,3914
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel rojo,,3915
Seco y limpio,"Amanecer o atardecer, con luz artificial",Despejado,,Nivel blanco,,3916
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel verde,,3917
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel verde,,3918
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,3919
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,3920
Con aceite,"Luz del día natural, solar",Despejado,,Nivel blanco,,3921
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel verde,,3922
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,3923
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,3924
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel verde,,3925
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,3926
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel verde,,3927
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel verde,,3928
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel verde,,3929
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,3930
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel verde,,3931
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel blanco,,3932
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel verde,,3933
Seco y limpio,"Luz del día natural, solar",Nublado,,Nivel blanco,,3934
Con barro o gravilla suelta,"Luz del día natural, solar",Despejado,,Nivel blanco,,3935
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,3936
Seco y limpio,"Luz del día natural, solar",Despejado,,Se desconoce,,3937
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,3938
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,3939
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel blanco,,3940
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,3941
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,3942
Seco y limpio,Sin luz natural ni artificial,Despejado,,Nivel blanco,,3943
Seco y limpio,Sin luz natural ni artificial,Nublado,,Nivel blanco,,3944
Seco y limpio,Sin luz natural ni artificial,Despejado,,Nivel blanco,,3945
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,3946
Seco y limpio,Sin luz natural ni artificial,Despejado,,Nivel blanco,,3947
Mojado,"Luz del día natural, solar",Lluvia débil,,Nivel blanco,,3948
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,3949
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel blanco,,3950
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,3951
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,3952
Otra,Sin luz natural ni artificial,Nublado,,Nivel blanco,,3953
Seco y limpio,Sin luz natural ni artificial,Despejado,,Nivel blanco,,3954
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel verde,,3955
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,3956
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,3957
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,3958
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,3959
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,3960
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,3961
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,3962
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,3963
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,3964
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,3965
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,3966
Otra,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel blanco,,3967
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,3968
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,3969
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,3970
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,3971
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,3972
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,3973
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,3974
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,3975
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,3976
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,3977
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,3978
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,3979
Con barro o gravilla suelta,"Luz del día natural, solar",Despejado,,Nivel blanco,,3980
Mojado,Sin luz natural ni artificial,Lluvia débil,,Nivel blanco,,3981
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,3982
Seco y limpio,"Amanecer o atardecer, con luz artificial",Despejado,,Nivel blanco,,3983
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,3984
Seco y limpio,Sin luz natural ni artificial,Despejado,,Nivel blanco,,3985
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,3986
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,3987
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,3988
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,3989
Seco y limpio,Sin luz natural ni artificial,Despejado,,Nivel blanco,,3990
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel blanco,,3991
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,3992
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel blanco,,3993
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel blanco,,3994
Seco y limpio,Sin luz natural ni artificial,Despejado,,Nivel blanco,,3995
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel blanco,,3996
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel blanco,,3997
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,3998
Seco y limpio,Sin luz natural ni artificial,Nublado,,Nivel blanco,,3999
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel blanco,,4000
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,4001
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4002
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,4003
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Sin especificar,,4004
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4005
Seco y limpio,Sin luz natural y con iluminación artificial encen,Se desconoce,,Sin especificar,,4006
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,4007
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel rojo,,4008
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel blanco,,4009
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4010
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4011
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4012
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4013
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4014
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4015
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel amarillo,,4016
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4017
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4018
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4019
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,4020
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,4021
Mojado,Sin luz natural ni artificial,Nublado,,Nivel blanco,,4022
Seco y limpio,"Luz del día natural, solar",Nublado,,Sin especificar,,4023
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4024
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4025
Mojado,"Amanecer o atardecer, con luz artificial",Lluvia débil,,Nivel blanco,,4026
Mojado,"Luz del día natural, solar",Nublado,,Sin especificar,,4027
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Sin especificar,,4028
Mojado,"Luz del día natural, solar",Lluvia débil,,Sin especificar,,4029
Seco y limpio,"Luz del día natural, solar",Nublado,,Nivel blanco,,4030
Mojado,Sin luz natural y con iluminación artificial encen,Lluvia débil,,Sin especificar,,4031
Mojado,"Luz del día natural, solar",Nublado,,Nivel amarillo,,4032
Mojado,"Luz del día natural, solar",Lluvia débil,,Sin especificar,,4033
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,4034
Mojado,Sin luz natural y con iluminación artificial encen,Lluvia débil,,Nivel blanco,,4035
Mojado,Sin luz natural y con iluminación artificial encen,Nublado,,Nivel blanco,,4036
Mojado,Sin luz natural y con iluminación artificial encen,Lluvia débil,,Sin especificar,,4037
Mojado,Sin luz natural y con iluminación artificial encen,Lluvia débil,,Sin especificar,,4038
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,4039
Seco y limpio,"Luz del día natural, solar",Nublado,,Sin especificar,,4040
Seco y limpio,Sin luz natural y con iluminación artificial encen,Nublado,,Nivel verde,,4041
Mojado,Sin luz natural y con iluminación artificial encen,Nublado,,Nivel blanco,,4042
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel blanco,,4043
Con barro o gravilla suelta,"Luz del día natural, solar",Despejado,,Nivel blanco,,4044
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel verde,,4045
Seco y limpio,"Amanecer o atardecer, con luz artificial",Despejado,,Nivel blanco,,4046
Seco y limpio,"Amanecer o atardecer, con luz artificial",Despejado,,Nivel blanco,,4047
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Sin especificar,,4048
Mojado,Sin luz natural ni artificial,Lluvia fuerte,,Nivel blanco,,4049
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4050
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Sin especificar,,4051
Seco y limpio,"Amanecer o atardecer, sin luz artificial",Despejado,,Nivel verde,,4052
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4053
Mojado,Sin luz natural y con iluminación artificial encen,Nublado,,Sin especificar,,4054
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,4055
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4056
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4057
Seco y limpio,Sin luz natural ni artificial,Despejado,,Nivel blanco,,4058
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,4059
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,4060
Seco y limpio,"Luz del día natural, solar",Nublado,,Sin especificar,,4061
Seco y limpio,"Amanecer o atardecer, sin luz artificial",Despejado,,Nivel blanco,,4062
Seco y limpio,"Amanecer o atardecer, con luz artificial",Nublado,,Sin especificar,,4063
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4064
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4065
Seco y limpio,"Luz del día natural, solar",Nublado,,Sin especificar,,4066
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4067
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel verde,,4068
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel blanco,,4069
Seco y limpio,"Amanecer o atardecer, con luz artificial",Despejado,,Sin especificar,,4070
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,4071
Seco y limpio,Sin luz natural ni artificial,Despejado,,Nivel blanco,,4072
Seco y limpio,"Luz del día natural, solar",Nublado,,Nivel rojo,,4073
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel verde,,4074
Con aceite,Sin luz natural y con iluminación artificial encen,Despejado,,Sin especificar,,4075
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel verde,,4076
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,4077
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,4078
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4079
Seco y limpio,Sin luz natural y con iluminación artificial no en,Despejado,,Nivel blanco,,4080
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4081
Mojado,"Luz del día natural, solar",Nublado,,Sin especificar,,4082
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel amarillo,,4083
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,4084
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel blanco,,4085
Mojado,Sin luz natural y con iluminación artificial encen,Lluvia débil,,Sin especificar,,4086
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,4087
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4088
Seco y limpio,"Amanecer o atardecer, con luz artificial",Despejado,,Nivel blanco,,4089
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4090
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4091
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4092
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,4093
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel verde,,4094
Con barro o gravilla suelta,Sin luz natural ni artificial,Despejado,,Nivel blanco,,4095
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4096
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4097
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4098
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4099
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,4100
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,4101
Seco y limpio,Sin luz natural ni artificial,Despejado,,Nivel blanco,,4102
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,4103
Seco y limpio,Sin luz natural y con iluminación artificial encen,Nublado,,Nivel blanco,,4104
Seco y limpio,"Amanecer o atardecer, sin luz artificial",Despejado,,Nivel amarillo,,4105
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel blanco,,4106
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel verde,,4107
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,4108
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4109
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel verde,,4110
Mojado,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel blanco,,4111
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,4112
Con barro o gravilla suelta,"Luz del día natural, solar",Despejado,,Nivel blanco,,4113
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,4114
Seco y limpio,"Luz del día natural, solar",Nublado,,Nivel blanco,,4115
Seco y limpio,Sin luz natural y con iluminación artificial no en,Nublado,,Sin especificar,,4116
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,4117
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4118
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel blanco,,4119
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel verde,,4120
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4121
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel verde,,4122
Seco y limpio,Sin luz natural y con iluminación artificial encen,Nublado,,Nivel blanco,,4123
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Sin especificar,,4124
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel amarillo,,4125
Seco y limpio,Sin luz natural y con iluminación artificial encen,Se desconoce,,Nivel blanco,,4126
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4127
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,4128
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4129
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,4130
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel blanco,,4131
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel verde,,4132
Mojado,"Luz del día natural, solar",Nublado,,Sin especificar,,4133
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4134
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel blanco,,4135
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel blanco,,4136
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel verde,,4137
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,4138
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,4139
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,4140
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,4141
Muy encharcado o inundado,Sin luz natural y con iluminación artificial encen,Lluvia fuerte,,Nivel blanco,,4142
Mojado,"Luz del día natural, solar",Lluvia débil,,Nivel blanco,,4143
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4144
Mojado,"Luz del día natural, solar",Lluvia fuerte,,Sin especificar,,4145
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4146
Mojado,"Luz del día natural, solar",Nublado,,Sin especificar,,4147
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,4148
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4149
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,4150
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,4151
Seco y limpio,"Amanecer o atardecer, sin luz artificial",Despejado,,Nivel blanco,,4152
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel blanco,,4153
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel blanco,,4154
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel blanco,,4155
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4156
Mojado,Sin luz natural y con iluminación artificial encen,Lluvia débil,,Nivel blanco,,4157
Mojado,"Luz del día natural, solar",Lluvia fuerte,,Nivel blanco,,4158
Con aceite,"Luz del día natural, solar",Despejado,,Nivel blanco,,4159
Seco y limpio,"Amanecer o atardecer, sin luz artificial",Despejado,,Nivel blanco,,4160
Seco y limpio,"Luz del día natural, solar",Nublado,,Nivel blanco,,4161
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,4162
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel verde,,4163
Seco y limpio,"Amanecer o atardecer, con luz artificial",Despejado,,Sin especificar,,4164
Seco y limpio,"Luz del día natural, solar",Nublado,,Sin especificar,,4165
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel blanco,,4166
Seco y limpio,Sin luz natural ni artificial,Despejado,,Nivel blanco,,4167
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Sin especificar,,4168
Seco y limpio,"Luz del día natural, solar",Nublado,,Nivel blanco,,4169
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4170
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Sin especificar,,4171
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel amarillo,,4172
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Sin especificar,,4173
Seco y limpio,"Luz del día natural, solar",Despejado,,Se desconoce,,4174
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4175
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4176
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,4177
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4178
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4179
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4180
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel amarillo,,4181
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4182
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4183
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4184
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4185
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,4186
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,4187
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,4188
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4189
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4190
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4191
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,4192
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel verde,,4193
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4194
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel amarillo,,4195
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4196
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4197
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4198
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4199
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4200
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel verde,,4201
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel blanco,,4202
Seco y limpio,Sin luz natural ni artificial,Despejado,,Nivel blanco,,4203
Seco y limpio,"Amanecer o atardecer, con luz artificial",Despejado,,Nivel blanco,,4204
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4205
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4206
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,4207
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,4208
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4209
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,4210
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel verde,,4211
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,4212
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4213
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,4214
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,4215
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel blanco,,4216
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,4217
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel verde,,4218
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,4219
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel blanco,,4220
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel blanco,,4221
Seco y limpio,"Luz del día natural, solar",Despejado,Niebla ligera,Nivel blanco,,4222
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel verde,,4223
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel verde,,4224
Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel verde,,4225
Seco y limpio,"Luz del día natural, solar",Nublado,,Nivel blanco,,4226
Seco y limpio,"Luz del día natural, solar",Nublado,,Nivel blanco,,4227
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,4228
Mojado,"Luz del día natural, solar",Nublado,,Nivel verde,,4229
Mojado,"Luz del día natural, solar",Lluvia débil,,Sin especificar,,4230
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4231
Mojado,"Luz del día natural, solar",Lluvia débil,,Sin especificar,,4232
Con barro o gravilla suelta,"Luz del día natural, solar",Despejado,,Nivel blanco,,4233
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,4234
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,4235
Seco y limpio,"Amanecer o atardecer, con luz artificial",Despejado,,Nivel verde,,4236
Mojado,"Luz del día natural, solar",Lluvia débil,,Nivel blanco,,4237
Mojado,"Luz del día natural, solar",Lluvia débil,,Nivel blanco,,4238
Mojado,"Luz del día natural, solar",Nublado,,Sin especificar,,4239
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4240
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4241
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel amarillo,,4242
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4243
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,4244
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,4245
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,4246
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel verde,,4247
Seco y limpio,"Luz del día natural, solar",Nublado,,Nivel blanco,,4248
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,4249
Seco y limpio,"Amanecer o atardecer, sin luz artificial",Despejado,,Nivel verde,,4250
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel verde,,4251
Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,4252
Mojado,"Luz del día natural, solar",Lluvia débil,,Nivel blanco,,4253
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,4254
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,4255
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,4256
Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,4257
