CARRETERA_CRUCE,CARRETERA,TIPO_VIA,TITULARIDAD_VIA,SENTIDO_1F,id
,N-332,Carretera Convencional de doble calzada,Estatal,Ascendente,2019
N-332,N-332,Carretera Convencional de doble calzada,Estatal,Ascendente,2020
,No inventariada,Calle,Municipal,Se desconoce,2021
,No inventariada,Calle,Municipal,Se desconoce,2022
,No inventariada,Calle,Municipal,Se desconoce,2023
,No inventariada,Calle,Municipal,Se desconoce,2024
,N-332,Carretera Convencional de doble calzada,Estatal,Ascendente,2025
,No inventariada,Calle,Municipal,Se desconoce,2026
,No inventariada,Calle,Municipal,Se desconoce,2027
,CV-905,Carretera Convencional de doble calzada,Autonómica,Ascendente,2028
CV-895,N-332,Carretera Convencional de doble calzada,Estatal,Ascendente,2029
,No inventariada,Calle,Municipal,Se desconoce,2030
,No inventariada,Calle,Municipal,Se desconoce,2031
,No inventariada,Calle,Municipal,Se desconoce,2032
,No inventariada,Calle,Municipal,Se desconoce,2033
,No inventariada,Calle,Municipal,Se desconoce,2034
,No inventariada,Calle,Municipal,Se desconoce,2035
,CV-845,Carretera Convencional de calzada única,Autonómica,Descendente,2036
,CV-845,Carretera Convencional de calzada única,Autonómica,Ascendente,2037
,CV-845,Carretera Convencional de calzada única,Autonómica,Ascendente,2038
,CV-845,Carretera Convencional de calzada única,Autonómica,Ascendente,2039
,VERTIENTE,Camino vecinal,Municipal,Ambos,2040
,CV-805,Carretera Convencional de calzada única,Autonómica,Descendente,2041
,A-7,Autovía,Estatal,Descendente,2042
,CV-801,Carretera Convencional de calzada única,Autonómica,Descendente,2043
,CV-801,Carretera Convencional de calzada única,Autonómica,Ascendente,2044
,CV-805,Carretera Convencional de calzada única,Autonómica,Ascendente,2045
,No inventariada,Calle,Municipal,Se desconoce,2046
,IBI,Vía de servicio,Otra,Ambos,2047
,No inventariada,Calle,Municipal,Se desconoce,2048
,No inventariada,Calle,Municipal,Se desconoce,2049
CV-80,CV-815,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Ambos,2050
,CV-798,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Ascendente,2051
,No inventariada,Calle,Municipal,Se desconoce,2052
,No inventariada,Calle,Municipal,Se desconoce,2053
,No inventariada,Calle,Municipal,Se desconoce,2054
,No inventariada,Calle,Municipal,Se desconoce,2055
,No inventariada,Calle,Municipal,Se desconoce,2056
,CV-801,Carretera Convencional de calzada única,Autonómica,Ascendente,2057
,CV-806,Carretera Convencional de calzada única,Autonómica,Ascendente,2058
,No inventariada,Calle,Municipal,Se desconoce,2059
,CV-798,Carretera Convencional de calzada única,Municipal,Ascendente,2060
,No inventariada,Calle,Municipal,Se desconoce,2061
,No inventariada,Calle,Municipal,Se desconoce,2062
,No inventariada,Calle,Municipal,Se desconoce,2063
,No inventariada,Calle,Municipal,Se desconoce,2064
,No inventariada,Calle,Municipal,Se desconoce,2065
,No inventariada,Calle,Municipal,Se desconoce,2066
,No inventariada,Calle,Municipal,Se desconoce,2067
,No inventariada,Calle,Municipal,Se desconoce,2068
,No inventariada,Calle,Municipal,Se desconoce,2069
,No inventariada,Calle,Municipal,Se desconoce,2070
,No inventariada,Calle,Municipal,Se desconoce,2071
,No inventariada,Calle,Municipal,Se desconoce,2072
,No inventariada,Calle,Municipal,Se desconoce,2073
,No inventariada,Calle,Municipal,Se desconoce,2074
,No inventariada,Calle,Municipal,Se desconoce,2075
,CV-801,Carretera Convencional de calzada única,Autonómica,Descendente,2076
,No inventariada,Calle,Municipal,Se desconoce,2077
,A-7,Autovía,Estatal,Descendente,2078
,No inventariada,Calle,Municipal,Se desconoce,2079
,No inventariada,Calle,Otra,Se desconoce,2080
,No inventariada,Calle,Municipal,Se desconoce,2081
,No inventariada,Calle,Municipal,Se desconoce,2082
,CV-920,Carretera Convencional de calzada única,Autonómica,Ascendente,2083
,CV-95,Carretera Convencional de doble calzada,Autonómica,Ascendente,2084
,CV-95,Carretera Convencional de calzada única,Autonómica,Ascendente,2085
,No inventariada,Carretera Convencional de calzada única,Autonómica,Ascendente,2086
,CV-95,Carretera Convencional de calzada única,Autonómica,Ascendente,2087
,CV-747,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Ambos,2088
,No inventariada,Calle,"Provincial, Cabildo/Consell",Se desconoce,2089
,CV-742,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Ambos,2090
,CV-7420,Carretera Convencional de calzada única,Autonómica,Descendente,2091
,No inventariada,Calle,Municipal,Se desconoce,2092
,No inventariada,Calle,Municipal,Se desconoce,2093
,No inventariada,Calle,Municipal,Se desconoce,2094
,No inventariada,Calle,Municipal,Se desconoce,2095
,No inventariada,Calle,Municipal,Se desconoce,2096
,CV-736,Carretera Convencional de calzada única,Autonómica,Descendente,2097
,CV-736,Carretera Convencional de calzada única,Municipal,Ascendente,2098
,No inventariada,Calle,Municipal,Se desconoce,2099
,No inventariada,Calle,Municipal,Se desconoce,2100
,No inventariada,Calle,Municipal,Se desconoce,2101
,CV-800,Carretera Convencional de calzada única,Autonómica,Ascendente,2102
,CV-736,Carretera Convencional de calzada única,Autonómica,Descendente,2103
,CV-734,Carretera Convencional de calzada única,Autonómica,Descendente,2104
,CV-734,Carretera Convencional de calzada única,Autonómica,Descendente,2105
,CV-735,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Ambos,2106
,No inventariada,Calle,Municipal,Se desconoce,2107
,No inventariada,Calle,Municipal,Se desconoce,2108
,No inventariada,Calle,Municipal,Se desconoce,2109
,No inventariada,Calle,Municipal,Se desconoce,2110
,No inventariada,Calle,Municipal,Se desconoce,2111
,No inventariada,Calle,Municipal,Se desconoce,2112
,No inventariada,Calle,Municipal,Se desconoce,2113
,No inventariada,Calle,Municipal,Se desconoce,2114
,No inventariada,Calle,Municipal,Se desconoce,2115
,No inventariada,Calle,Municipal,Se desconoce,2116
,No inventariada,Calle,Municipal,Se desconoce,2117
,No inventariada,Calle,Municipal,Se desconoce,2118
,No inventariada,Calle,Municipal,Se desconoce,2119
,No inventariada,Calle,Municipal,Se desconoce,2120
,No inventariada,Calle,Municipal,Se desconoce,2121
,No inventariada,Calle,Municipal,Se desconoce,2122
,No inventariada,Calle,Municipal,Se desconoce,2123
,No inventariada,Calle,Municipal,Se desconoce,2124
,No inventariada,Camino vecinal,Municipal,Ascendente,2125
,CV-800,Carretera Convencional de calzada única,Autonómica,Descendente,2126
,No inventariada,Calle,Municipal,Se desconoce,2127
,CV-800,Carretera Convencional de calzada única,Autonómica,Descendente,2128
,CV-800,Carretera Convencional de calzada única,Autonómica,Descendente,2129
,CV-800,Carretera Convencional de calzada única,Autonómica,Ascendente,2130
,CV-800,Carretera Convencional de calzada única,Autonómica,Ambos,2131
,CV-800,Carretera Convencional de calzada única,Autonómica,Ascendente,2132
,CV-800,Carretera Convencional de calzada única,Autonómica,Ascendente,2133
,No inventariada,Calle,Municipal,Se desconoce,2134
,CV-800,Carretera Convencional de calzada única,Autonómica,Descendente,2135
CV-774,CV-800,Carretera Convencional de calzada única,Autonómica,Descendente,2136
,CV-800,Carretera Convencional de calzada única,Autonómica,Descendente,2137
,CV-800,Carretera Convencional de calzada única,Autonómica,Descendente,2138
,CV-800,Carretera Convencional de calzada única,Autonómica,Ascendente,2139
,CV-800,Carretera Convencional de calzada única,Autonómica,Descendente,2140
,CV-800,Carretera Convencional de calzada única,Autonómica,Ascendente,2141
,CV-800,Carretera Convencional de calzada única,Autonómica,Descendente,2142
CV-800,CV-800,Carretera Convencional de calzada única,Autonómica,Ascendente,2143
,CV-800,Carretera Convencional de calzada única,Autonómica,Descendente,2144
,CV-800,Carretera Convencional de calzada única,Autonómica,Ascendente,2145
,CV-800,Carretera Convencional de calzada única,Autonómica,Descendente,2146
,CV-800,Carretera Convencional de calzada única,Autonómica,Descendente,2147
,CV-800,Carretera Convencional de calzada única,Autonómica,Ascendente,2148
,CV-800,Carretera Convencional de calzada única,Autonómica,Ascendente,2149
,CV-800,Carretera Convencional de calzada única,Autonómica,Descendente,2150
,CV-800,Carretera Convencional de calzada única,Autonómica,Descendente,2151
,CV-800,Carretera Convencional de calzada única,Autonómica,Descendente,2152
,CV-800,Carretera Convencional de calzada única,Autonómica,Descendente,2153
,CV-800,Carretera Convencional de calzada única,Autonómica,Descendente,2154
,CV-745,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Ascendente,2155
,CV-745,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Descendente,2156
,CV-748,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Ascendente,2157
,A-31,Autovía,Estatal,Descendente,2158
,CV-847,Carretera Convencional de calzada única,Municipal,Descendente,2159
,A-31,Autovía,Estatal,Descendente,2160
,A-31,Autovía,Estatal,Ascendente,2161
,A-31,Autovía,Estatal,Descendente,2162
,A-31,Autovía,Estatal,Descendente,2163
,A-31,Autovía,Estatal,Descendente,2164
,A-31,Autovía,Estatal,Ascendente,2165
,A-31,Autovía,Estatal,Descendente,2166
,A-31,Autovía,Estatal,Ascendente,2167
,A-31,Autovía,Estatal,Ascendente,2168
,A-31,Autovía,Estatal,Ascendente,2169
,A-31,Autovía,Estatal,Ascendente,2170
,A-31,Autovía,Estatal,Descendente,2171
,A-31,Autovía,Estatal,Ascendente,2172
,CV-83,Carretera Convencional de calzada única,Autonómica,Ascendente,2173
,CAMINO,Camino vecinal,Municipal,Ascendente,2174
,No inventariada,Calle,Municipal,Se desconoce,2175
,C. BELICH,Camino vecinal,Municipal,Ascendente,2176
,CV-835,Carretera Convencional de calzada única,Autonómica,Ascendente,2177
,CV-855,Carretera Convencional de calzada única,Autonómica,Ambos,2178
,CV-835,Carretera Convencional de calzada única,Autonómica,Ascendente,2179
,CV-83,Carretera Convencional de doble calzada,Autonómica,Descendente,2180
,CV-821,Carretera Convencional de doble calzada,Autonómica,Descendente,2181
,CV-800,Carretera Convencional de calzada única,Autonómica,Ascendente,2182
,CV-800,Carretera Convencional de calzada única,Autonómica,Ascendente,2183
,No inventariada,Camino vecinal,Municipal,Descendente,2184
,CV-800,Carretera Convencional de calzada única,Autonómica,Ambos,2185
,CANTALAR,Camino vecinal,Municipal,Ambos,2186
,No inventariada,Calle,Municipal,Se desconoce,2187
,CV-800,Carretera Convencional de calzada única,Autonómica,Descendente,2188
,No inventariada,Calle,Municipal,Se desconoce,2189
,No inventariada,Calle,Municipal,Se desconoce,2190
,No inventariada,Calle,Municipal,Se desconoce,2191
,CV-800,Carretera Convencional de calzada única,Autonómica,Ascendente,2192
,CV-819,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Descendente,2193
,CV-821,Carretera Convencional de doble calzada,Autonómica,Descendente,2194
,CV-800,Carretera Convencional de calzada única,Autonómica,Ambos,2195
,No inventariada,Calle,Municipal,Se desconoce,2196
,CV-821,Carretera Convencional de calzada única,Autonómica,Ascendente,2197
,No inventariada,Calle,Municipal,Se desconoce,2198
,CV-821,Carretera Convencional de doble calzada,Autonómica,Ascendente,2199
,CV-773,Carretera Convencional de calzada única,Autonómica,Ascendente,2200
CV-773,CV-773,Carretera Convencional de calzada única,Autonómica,Ascendente,2201
,CV-800,Carretera Convencional de calzada única,Autonómica,Ascendente,2202
,CV-821,Carretera Convencional de doble calzada,Autonómica,Descendente,2203
,CV-821,Carretera Convencional de calzada única,Autonómica,Ascendente,2204
,C.TORRETA,Camino vecinal,Municipal,Ascendente,2205
,No inventariada,Calle,Municipal,Se desconoce,2206
,A-70,Autovía,Estatal,Descendente,2207
,No inventariada,Calle,Municipal,Se desconoce,2208
,CV-800,Carretera Convencional de calzada única,Autonómica,Ascendente,2209
,CV-773,Carretera Convencional de calzada única,Autonómica,Ascendente,2210
,No inventariada,Calle,Municipal,Se desconoce,2211
,No inventariada,Calle,Municipal,Se desconoce,2212
,No inventariada,Calle,Municipal,Se desconoce,2213
CV-821,CV-821,Carretera Convencional de doble calzada,Autonómica,Descendente,2214
,No inventariada,Calle,Municipal,Se desconoce,2215
,No inventariada,Calle,Municipal,Se desconoce,2216
,No inventariada,Calle,Municipal,Se desconoce,2217
,No inventariada,Calle,Municipal,Se desconoce,2218
,No inventariada,Calle,Municipal,Se desconoce,2219
,CV-819,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Ascendente,2220
,CV-773,Carretera Convencional de calzada única,Autonómica,Descendente,2221
,CV-800,Carretera Convencional de calzada única,Autonómica,Descendente,2222
,No inventariada,Calle,Municipal,Se desconoce,2223
,No inventariada,Calle,Municipal,Se desconoce,2224
,No inventariada,Camino vecinal,Municipal,Ascendente,2225
,No inventariada,Calle,Municipal,Se desconoce,2226
,No inventariada,Calle,Municipal,Se desconoce,2227
,CV-773,Carretera Convencional de calzada única,Autonómica,Ascendente,2228
A-7,CV-700,Carretera Convencional de calzada única,Autonómica,Descendente,2229
,No inventariada,Camino vecinal,Municipal,Ascendente,2230
,A-7,Autovía,Estatal,Descendente,2231
,CV-700,Carretera Convencional de calzada única,Autonómica,Descendente,2232
,CV-703,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Descendente,2233
,CV-705,Carretera Convencional de calzada única,Autonómica,Ambos,2234
,CV-705,Carretera Convencional de calzada única,Autonómica,Ambos,2235
,N-340,Carretera Convencional de doble calzada,Estatal,Ascendente,2236
,No inventariada,Calle,Municipal,Se desconoce,2237
,No inventariada,Otro,Municipal,Se desconoce,2238
,N-340,Vía de servicio,Estatal,Descendente,2239
,N-340,Carretera Convencional de doble calzada,Estatal,Descendente,2240
,CV-700,Carretera Convencional de calzada única,Autonómica,Ascendente,2241
,CV-700,Carretera Convencional de calzada única,Autonómica,Ambos,2242
,A-7,Autovía,Estatal,Ascendente,2243
,No inventariada,Calle,Municipal,Se desconoce,2244
,No inventariada,Calle,Municipal,Se desconoce,2245
,No inventariada,Calle,Municipal,Se desconoce,2246
,A-31,Autovía,Estatal,Ascendente,2247
,A-31,Autovía,Estatal,Ascendente,2248
,A-31,Autovía,Estatal,Descendente,2249
,CV-820,Carretera Convencional de calzada única,Autonómica,Descendente,2250
,CV-840,Carretera Convencional de calzada única,Autonómica,Ascendente,2251
,No inventariada,Calle,Municipal,Se desconoce,2252
,No inventariada,Calle,Municipal,Se desconoce,2253
,No inventariada,Calle,Municipal,Se desconoce,2254
,No inventariada,Calle,Municipal,Se desconoce,2255
,HORNA BAJA,Camino vecinal,Municipal,Ascendente,2256
,N-325,Carretera Convencional de calzada única,Estatal,Descendente,2257
,No inventariada,Otro,Municipal,Se desconoce,2258
,A-31,Autovía,Estatal,Descendente,2259
,N-325,Carretera Convencional de calzada única,Estatal,Ascendente,2260
CV-835,N-325,Carretera Convencional de doble calzada,Estatal,Descendente,2261
,CV-847,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Descendente,2262
,A-31,Autovía,Estatal,Descendente,2263
,A-31,Autovía,Estatal,Ascendente,2264
,No inventariada,Otro,Otra,Ambos,2265
,A-31,Autovía,Estatal,Ambos,2266
,CV-84,Carretera Convencional de doble calzada,Autonómica,Ascendente,2267
,No inventariada,Calle,Municipal,Se desconoce,2268
,No inventariada,Calle,Municipal,Se desconoce,2269
,No inventariada,Calle,Municipal,Se desconoce,2270
,No inventariada,Calle,Municipal,Se desconoce,2271
,No inventariada,Calle,Municipal,Se desconoce,2272
,No inventariada,Calle,Municipal,Se desconoce,2273
,No inventariada,Calle,Municipal,Se desconoce,2274
,No inventariada,Calle,Municipal,Se desconoce,2275
,No inventariada,Calle,Municipal,Se desconoce,2276
,No inventariada,Calle,Municipal,Se desconoce,2277
,No inventariada,Calle,Municipal,Se desconoce,2278
,No inventariada,Calle,Municipal,Se desconoce,2279
,N-325,Carretera Convencional de calzada única,Estatal,Descendente,2280
,N-325,Carretera Convencional de calzada única,Estatal,Ascendente,2281
,CV-840,Carretera Convencional de calzada única,Autonómica,Ascendente,2282
,No inventariada,Calle,Municipal,Se desconoce,2283
,No inventariada,Calle,Municipal,Se desconoce,2284
,No inventariada,Calle,Municipal,Se desconoce,2285
,No inventariada,Calle,Municipal,Se desconoce,2286
,No inventariada,Calle,Municipal,Se desconoce,2287
,A-31,Autovía,Estatal,Ascendente,2288
,A-31,Autovía,Estatal,Ascendente,2289
,No inventariada,Calle,Municipal,Se desconoce,2290
,No inventariada,Calle,Municipal,Se desconoce,2291
,CV-832,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Ascendente,2292
,No inventariada,Calle,Municipal,Se desconoce,2293
CV-70,CV-70,Carretera Convencional de calzada única,Autonómica,Descendente,2294
,CV-760,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Descendente,2295
,CV-70,Carretera Convencional de doble calzada,Autonómica,Descendente,2296
,CV-70,Carretera Convencional de calzada única,Autonómica,Descendente,2297
,No inventariada,Calle,Municipal,Se desconoce,2298
,No inventariada,Calle,Municipal,Se desconoce,2299
,CV-760,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Ambos,2300
,CV-70,Carretera Convencional de calzada única,Autonómica,Descendente,2301
,CV-70,Carretera Convencional de doble calzada,Autonómica,Ascendente,2302
CV-70,CV-70,Carretera Convencional de calzada única,Autonómica,Ascendente,2303
,CV-70,Carretera Convencional de calzada única,Autonómica,Ascendente,2304
,CV-70,Carretera Convencional de calzada única,Autonómica,Descendente,2305
,CV-70,Carretera Convencional de calzada única,Autonómica,Descendente,2306
,No inventariada,Calle,Municipal,Se desconoce,2307
,No inventariada,Calle,Municipal,Se desconoce,2308
,No inventariada,Calle,Municipal,Se desconoce,2309
,CV-760,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Descendente,2310
,No inventariada,Calle,Municipal,Se desconoce,2311
,N-332,Carretera Convencional de calzada única,Estatal,Ambos,2312
N-332,N-332,Carretera Convencional de calzada única,Estatal,Descendente,2313
,N-332,Carretera Convencional de calzada única,Estatal,Ascendente,2314
,N-332,Carretera Convencional de calzada única,Estatal,Ambos,2315
,N-332,Carretera Convencional de calzada única,Estatal,Ascendente,2316
,CV-802,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Ascendente,2317
,No inventariada,Camino vecinal,Municipal,Ascendente,2318
,CV-806,Carretera Convencional de calzada única,Autonómica,Descendente,2319
,No inventariada,Camino vecinal,Municipal,Ambos,2320
,CV-802,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Ascendente,2321
,No inventariada,Calle,Municipal,Se desconoce,2322
,No inventariada,Camino vecinal,Municipal,Ascendente,2323
,CV-803,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Ascendente,2324
,CV-803,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Ascendente,2325
,No inventariada,Camino vecinal,Municipal,Descendente,2326
,CV-806,Carretera Convencional de calzada única,Autonómica,Ascendente,2327
,CV-720,Carretera Convencional de calzada única,Autonómica,Descendente,2328
,CV-718,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Ascendente,2329
,CV-715,Carretera Convencional de calzada única,Autonómica,Descendente,2330
,CV-770,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Ascendente,2331
,No inventariada,Calle,Municipal,Se desconoce,2332
,N-332,Carretera Convencional de calzada única,Estatal,Ascendente,2333
,CV-91,Carretera Convencional de calzada única,Autonómica,Ambos,2334
N-340,N-340,Carretera Convencional de calzada única,Estatal,Ascendente,2335
,N-340,Carretera Convencional de calzada única,Estatal,Descendente,2336
,No inventariada,Vía de servicio,Municipal,Se desconoce,2337
,No inventariada,Calle,Municipal,Se desconoce,2338
,No inventariada,Calle,Municipal,Se desconoce,2339
,CV-91,Carretera Convencional de doble calzada,Autonómica,Descendente,2340
,No inventariada,Calle,Municipal,Se desconoce,2341
,No inventariada,Calle,Municipal,Se desconoce,2342
,No inventariada,Calle,Municipal,Se desconoce,2343
,CV-916,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Ascendente,2344
,CV-951,Carretera Convencional de calzada única,Autonómica,Descendente,2345
CV-951,CV-951,Carretera Convencional de calzada única,Autonómica,Ascendente,2346
,CV-91,Carretera Convencional de calzada única,Autonómica,Descendente,2347
,N-340,Carretera Convencional de calzada única,Estatal,Ascendente,2348
,CV-930,Carretera Convencional de calzada única,Autonómica,Ambos,2349
,No inventariada,Calle,Municipal,Se desconoce,2350
,CV-95,Carretera Convencional de calzada única,Autonómica,Descendente,2351
,No inventariada,Calle,Municipal,Se desconoce,2352
,No inventariada,Calle,Municipal,Se desconoce,2353
,No inventariada,Calle,Municipal,Se desconoce,2354
,CV-900,Carretera Convencional de calzada única,Autonómica,Ascendente,2355
N-332,N-332,Carretera Convencional de calzada única,Estatal,Ascendente,2356
,CV-868,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Ambos,2357
,N-340,Carretera Convencional de calzada única,Estatal,Descendente,2358
,No inventariada,Recinto delimitado,Otra,Se desconoce,2359
,CV-91,Carretera Convencional de calzada única,Autonómica,Descendente,2360
,No inventariada,Calle,Municipal,Se desconoce,2361
,CV-950,Carretera Convencional de calzada única,Autonómica,Descendente,2362
,CV-925,Carretera Convencional de calzada única,Autonómica,Descendente,2363
N-340,CV-916,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Ascendente,2364
,No inventariada,Calle,Municipal,Se desconoce,2365
,CV-950,Carretera Convencional de calzada única,Autonómica,Descendente,2366
,No inventariada,Calle,Municipal,Se desconoce,2367
CV-919,CV-91,Carretera Convencional de calzada única,Autonómica,Ascendente,2368
,A-7,Autovía,Estatal,Descendente,2369
,N-332,Carretera Convencional de doble calzada,Estatal,Descendente,2370
,CV-91,Carretera Convencional de calzada única,Autonómica,Ascendente,2371
,No inventariada,Calle,Municipal,Se desconoce,2372
,A-7,Autovía,Estatal,Descendente,2373
,N-332,Carretera Convencional de calzada única,Estatal,Ascendente,2374
,No inventariada,Vía de servicio,Otra,Ascendente,2375
,CV-871,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Ascendente,2376
,No inventariada,Camino vecinal,Municipal,Ascendente,2377
,CV-950,Carretera Convencional de calzada única,Autonómica,Descendente,2378
,No inventariada,Camino vecinal,Municipal,Ascendente,2379
,A-7,Autovía,Estatal,Ascendente,2380
,No inventariada,Camino vecinal,Municipal,Ascendente,2381
,A-7,Autovía,Estatal,Ascendente,2382
,N-332,Carretera Convencional de calzada única,Estatal,Ascendente,2383
,N-332,Carretera Convencional de calzada única,Estatal,Ascendente,2384
,CV-91,Carretera Convencional de calzada única,Autonómica,Descendente,2385
,CV-91,Carretera Convencional de calzada única,Autonómica,Ascendente,2386
,CV-915,Carretera Convencional de calzada única,Autonómica,Ascendente,2387
,N-340,Carretera Convencional de calzada única,Estatal,Ascendente,2388
CV-869,CV-868,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Ascendente,2389
,CV-91,Carretera Convencional de calzada única,Autonómica,Ambos,2390
,CV-900,Carretera Convencional de calzada única,Autonómica,Descendente,2391
,A-7,Autovía,Estatal,Ascendente,2392
,CV-925,Carretera Convencional de calzada única,Autonómica,Descendente,2393
,CV-941,Carretera Convencional de calzada única,Autonómica,Ascendente,2394
,CV-868,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Descendente,2395
,CV-900,Carretera Convencional de calzada única,Autonómica,Ascendente,2396
,CV-91,Carretera Convencional de calzada única,Autonómica,Descendente,2397
,N-332,Carretera Convencional de doble calzada,Estatal,Descendente,2398
,N-332,Carretera Convencional de calzada única,Estatal,Ascendente,2399
,N-340,Carretera Convencional de calzada única,Estatal,Ascendente,2400
,No inventariada,Otro,Municipal,Ascendente,2401
,No inventariada,Calle,Municipal,Se desconoce,2402
,No inventariada,Calle,Municipal,Se desconoce,2403
,No inventariada,Calle,Municipal,Se desconoce,2404
,No inventariada,Camino vecinal,"Provincial, Cabildo/Consell",Ascendente,2405
,N-332,Carretera Convencional de doble calzada,Estatal,Descendente,2406
,N-332,Carretera Convencional de doble calzada,Estatal,Ascendente,2407
,No inventariada,Calle,Municipal,Se desconoce,2408
,N-332,Carretera Convencional de doble calzada,Estatal,Descendente,2409
,CV-923,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Ascendente,2410
,No inventariada,Calle,Municipal,Se desconoce,2411
,CV-923,Carretera Convencional de doble calzada,"Provincial, Cabildo/Consell",Ascendente,2412
,No inventariada,Calle,Municipal,Se desconoce,2413
,No inventariada,Calle,Municipal,Se desconoce,2414
,No inventariada,Calle,Municipal,Se desconoce,2415
,CV-91,Carretera Convencional de calzada única,Autonómica,Ascendente,2416
,CV-923,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Descendente,2417
,No inventariada,Calle,Municipal,Se desconoce,2418
,No inventariada,Camino vecinal,Municipal,Descendente,2419
CV-870,CV-930,Carretera Convencional de doble calzada,Autonómica,Ascendente,2420
,CV-951,Carretera Convencional de calzada única,Autonómica,Descendente,2421
,N-332,Carretera Convencional de calzada única,Estatal,Ascendente,2422
,No inventariada,Calle,Municipal,Se desconoce,2423
,No inventariada,Calle,Municipal,Se desconoce,2424
,No inventariada,Calle,Municipal,Se desconoce,2425
,CV-9220,Carretera Convencional de calzada única,Municipal,Ascendente,2426
,No inventariada,Calle,Municipal,Se desconoce,2427
,No inventariada,Vía de servicio,Municipal,Se desconoce,2428
,A-7,Autovía,Estatal,Ascendente,2429
,No inventariada,Calle,Municipal,Se desconoce,2430
,No inventariada,Calle,Municipal,Se desconoce,2431
,No inventariada,Calle,Municipal,Se desconoce,2432
,CV-916,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Descendente,2433
,CV-925,Carretera Convencional de calzada única,Autonómica,Ascendente,2434
,No inventariada,Calle,Municipal,Se desconoce,2435
,CV-915,Carretera Convencional de calzada única,Autonómica,Ascendente,2436
,No inventariada,Vía de servicio,Municipal,Se desconoce,2437
,CV-952,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Ascendente,2438
,N-332,Carretera Convencional de calzada única,Estatal,Ascendente,2439
,N-340,Carretera Convencional de calzada única,Estatal,Descendente,2440
,No inventariada,Calle,Municipal,Se desconoce,2441
,CRTAPICHÓN,Camino vecinal,Municipal,Ascendente,2442
,No inventariada,Camino vecinal,"Provincial, Cabildo/Consell",Ascendente,2443
,No inventariada,Calle,Municipal,Se desconoce,2444
,No inventariada,Calle,Municipal,Se desconoce,2445
,No inventariada,Calle,Municipal,Se desconoce,2446
,N-340,Carretera Convencional de calzada única,Estatal,Ambos,2447
,CV-900,Carretera Convencional de calzada única,Autonómica,Ascendente,2448
,CV-923,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Ascendente,2449
,No inventariada,Calle,Municipal,Se desconoce,2450
N-332,N-332,Carretera Convencional de doble calzada,Estatal,Ascendente,2451
,N-332,Carretera Convencional de calzada única,Estatal,Descendente,2452
,CV-91,Carretera Convencional de calzada única,Autonómica,Descendente,2453
,No inventariada,Calle,Municipal,Se desconoce,2454
,No inventariada,Calle,Municipal,Se desconoce,2455
,CV-870,Carretera Convencional de calzada única,Autonómica,Descendente,2456
,No inventariada,Calle,Municipal,Se desconoce,2457
,No inventariada,Calle,Municipal,Se desconoce,2458
C. ENMEDIO,No inventariada,Vía de servicio,Municipal,Ascendente,2459
A-7,CV-870,Carretera Convencional de calzada única,Autonómica,Descendente,2460
,A-7,Autovía,Estatal,Ascendente,2461
CV-930,N-340,Carretera Convencional de calzada única,Estatal,Descendente,2462
,No inventariada,Camino vecinal,Municipal,Descendente,2463
,No inventariada,Camino vecinal,Municipal,Descendente,2464
,A-7,Autovía,Estatal,Ascendente,2465
,No inventariada,Calle,Municipal,Se desconoce,2466
,No inventariada,Calle,Municipal,Se desconoce,2467
,CV-930,Carretera Convencional de calzada única,Autonómica,Descendente,2468
,CV-950,Carretera Convencional de calzada única,Autonómica,Ascendente,2469
